iter	Passed	Remaining
0	841703	7575331
1	1673628	6694515
2	2491498	5813495
3	3284615	4926922
4	4093052	4093052
5	4827778	3218519
6	5675133	2432200
7	6535853	1633963
8	7312607	812511
9	8115647	0
