iter	RMSE
352	148.1570426
353	148.0755987
354	147.9126617
355	147.8295873
356	147.7524109
357	147.6246667
358	147.4867588
359	147.3924972
360	147.3193441
361	147.2273721
362	147.1266443
363	147.0028304
364	146.8782789
365	146.7834828
366	146.7520499
367	146.655397
368	146.5707427
369	146.510042
370	146.4149731
371	146.3013734
